line,text_a,text_b,item_a,prosodel_a,lexel_a,grammel_a,item_b,prosodel_b,lexel_b,grammel_b,notes
1,sire he seis,and sonenday is nouwe,seis,nontrochaic,MED39209,vps13,nouwe,trochaic,MED29923,av,
2,¶ þenne alle lauhwhen an heiȝ,þat herden his wordes,heiȝ,nontrochaic,MED20246,ajn<pr,wordes,trochaic,MED53418,nplOd,
3,Hit is two and fourti winter þei seiȝen,trewely forsoþe,seiȝen,trochaic,MED39209,vps23,forsoþe,trochaic,MED17159,av,
4,Siþen þou souȝtest þis put,and to prison eodest,put,nontrochaic,MED33518,nOd,eodest,trochaic,MED53786,vpt12,
5,Now I þonke my lord seide Ioseph,þat lente me of his grace,Ioseph,nonschwa,Wikidata_Q271474,n,grace,trochaic,MED19175,n<pr,
6,me þinkeþ but þreo niȝt,al þis ilke þrowe,niȝt,trochaic,MED29498,npl,þrowe,trochaic,MED45565,n,
7,¶ þenne Ioseph askes fontston,& is I-folwed blyue,fontston,nonschwa,MED16642,nOd,blyue,trochaic,MED5257,av,
8,þei folewen him and his wyf,& with him ful monye,wyf,nontrochaic,MED52688,nOd,monye,short_i,MED26757,ajnplOd,
9,¶ Siþen com vaspasians,and was furst sped,vaspasians,nontrochaic,Wikidata_Q1419,n,sped,trochaic,MED42062,vpp,
10,In þe nome of þe fader,Ioseph him folewede,fader,trochaic,MED15113,n<pr,folewede,trochaic,MED17944,vpt13,
11,And hedde I-turned to þe feyþ,fifti with him-seluen,feyþ,trochaic,MED15481,n<pr,seluen,trochaic,MED20373,P13<prXM,
12,¶ Siþen he fette his fader with a ferde,and a-ȝeyn fondet,ferde,trochaic,MED15633,n<pr,fondet,trochaic,MED17456,vpt13,
13,þer þei bosked hem out,þat hudden hem in huirenes,out,nontrochaic,MED31168,av,huirenes,trochaic,MED20872,npl<pr,
14,Made hem to huppe,half an hundret foote,huppe,trochaic,MED20850,vi,foote,trochaic,MED17401,nplOi,disyl as measure
15,forte seche boþem,þer þei non seiȝen,boþem,trochaic,MED5647,nOd,seiȝen,trochaic,MED39393,vSpt23,
16,¶ þus þei ladden þe lyf,and lengede longe,lyf,nontrochaic,MED25454,nOd,longe,trochaic,MED26029,av,
17,þat luyte liked his leyk,þer as he lengede,leyk,nontrochaic,MED25050,nOd,lengede,trochaic,MED25116,vpt13,
18,¶ Feole flowen for fert,out of heore cuþþhe,fert,trochaic,MED15632,n<pr,cuþþhe,trochaic,MED24371,n<pr,
19,in-to Augrippus lond,was heroudes eir,lond,dative_e,MED25988,n<pr,eir,trochaic,MED20280,n,
20,þere monye lenginde weore,for-let of heore oune,weore,trochaic,MED4048,vpt23,oune,trochaic,MED31050,ajnpl<pr,
21,ÞEn com a vois to Ioseph,and seide him þise wordes,Ioseph,nonschwa,Wikidata_Q271474,n<pr,wordes,trochaic,MED53418,nplOd,
22,Biddes him and his wyf,and his sone eke,wyf,nontrochaic,MED52688,nOd,eke,trochaic,MED13182,av,
23,And alle þat þey mouȝten gete,and to god tornen,gete,trochaic,MED18489,vi,tornen,trochaic,MED47404,vi,
24,¶ Gon out of Ierusalem,& prechen hise wordes,Ierusalem,nontrochaic,Wikidata_Q1218,n<pr,wordes,trochaic,MED53418,nplOd,
25,And neuer more come a-ȝeyn,whon þei weore enes þenne,aȝeyn,nontrochaic,MED3328,av,þenne,trochaic,MED45123,av,
26,¶ In þe morwe he was sone boun,don as he biddes,boun,nontrochaic,MED5713,aj,biddes,trochaic,MED4381,vps13,
27,Ioseph and his cumpanye,keueren on swiþe,cumpanye,trochaic,MED8655,n,swiþe,trochaic,MED44277,av,
28,¶ Ioseph ferde bi-foren,and þe flote folewede,biforen,trochaic,MED4432,av,folewede,trochaic,MED16601,vpt13,
29,in-to þe lond of betanye,þis buirnes nou wenden,betanye,trochaic,Wikidata_Q831190,n<pr,wenden,trochaic,MED52201,vps23,
30,¶ þei carke for here herbarwe,summe be-hynde,herbarwe,trochaic,MED20464,n<pr,be-hynde,trochaic,MED4517,av,
31,whon Ioseph herde þer-of,he bad hem not demayȝen,þerof,nontrochaic,MED45182,av,demayȝen,trochaic,MED11971,vi,
32,He þat ledes vs þis wei,vre herborwe schal wisse,wei,nontrochaic,MED52010,nOi,wisse,trochaic,MED52972,vi,
33,þei founden hit newely,so wel weore þei neuere,newely,nontrochaic,MED29426,av,neuere,trochaic,MED29438,av,
34,¶ A-morwe þei weore diȝt,and don hem to ȝonge,diȝt,nontrochaic,MED11613,vpp,ȝonge,trochaic,MED18162,vi-m,
35,And come to a Forest,with floures ful feire,Forest,nonschwa,MED16875,n<pr,feire,trochaic,MED15158,ajpl<pr,
36,þat was called Argos,þat þe kyng ouȝte,Argos,nonschwa,NO_AUTH_argos,n,ouȝte,trochaic,MED31051,vpt13,
37,in þe lond of damas,þe cuntre was dere,damas,nonschwa,MED10518,n<pr,dere,trochaic,MED11195,aj,
38,ÞEnne spekes a vois to Ioseph,was Ihesu crist him|selue,Ioseph,nonschwa,Wikidata_Q271474,n<pr,selue,trochaic,MED20373,P13XM,
39,Iosep[h] marke on þe treo,and make a luytel whucche,treo,nontrochaic,MED46870,n<pr,whucche,trochaic,MED52535,nOd,
40,Forte do in þat ilke blod,þou berest a-boute,blod,nontrochaic,MED5268,nOd,a-boute,trochaic,MED160,av,
41,¶ whon þe lust speke with me,lift þe lide sone,me,nontrochaic,MED27132,P11<pr,sone,trochaic,MED41559,av,
